2018-11-29 16:00:15.871 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2018-11-29 16:00:16.365 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2018-11-29 16:00:18.642 [main] INFO  c.m.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1br9si99zq7repg1ul4ehz|2781e022, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.facebook.presto.jdbc.PrestoDriver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1br9si99zq7repg1ul4ehz|2781e022, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:presto://master01:16060/hive/default, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2018-11-29 16:00:18.709 [main] INFO  com.metadata.yg.utils.C3P0Utils - C3p0连接创建成功
2018-11-29 16:00:22.584 [pool-1-thread-1] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-1，消费完成，耗费时间:141 ms,消费数据长度:100009
2018-11-29 16:00:23.074 [pool-1-thread-11] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-11，消费完成，耗费时间:79 ms,消费数据长度:100003
2018-11-29 16:00:23.764 [pool-1-thread-15] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-15，消费完成，耗费时间:83 ms,消费数据长度:100005
2018-11-29 16:00:24.447 [pool-1-thread-1] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-1，消费完成，耗费时间:67 ms,消费数据长度:100019
2018-11-29 16:00:24.671 [main] INFO  com.metadata.yg.handle.WriteDataHandle - flush线程：main, 需要保存数据的集合长度:41540
2018-11-29 16:00:24.722 [main] INFO  com.metadata.yg.handle.WriteDataHandle - flush线程：main, 消费完成，消费数据长度：41540
2018-11-29 17:09:05.688 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2018-11-29 17:09:05.989 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2018-11-29 17:09:06.983 [main] INFO  c.m.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1br9si99zqa7xab1mcbdu8|4abdb505, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.facebook.presto.jdbc.PrestoDriver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1br9si99zqa7xab1mcbdu8|4abdb505, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:presto://master01:16060/hive/default, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2018-11-29 17:09:07.045 [main] INFO  com.metadata.yg.utils.C3P0Utils - C3p0���Ӵ����ɹ�
2018-11-29 17:54:37.435 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2018-11-29 17:54:37.835 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2018-11-29 17:54:39.250 [main] INFO  c.m.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1br9si99zqbuh3w8i9vsx|29774679, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.facebook.presto.jdbc.PrestoDriver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1br9si99zqbuh3w8i9vsx|29774679, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:presto://master01:16060/hive/default, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2018-11-29 17:54:39.312 [main] INFO  com.metadata.yg.utils.C3P0Utils - C3p0连接创建成功
2018-11-29 17:54:47.016 [pool-1-thread-1] INFO  com.metadata.yg.handle.WriteDataHandle - pool-1-thread-1，消费完成，耗费时间:152 ms,消费数据长度:100003
